558340	DSName	XSec	FiltEff	kFactor
515061	MGPy8EG_A14N23LO_HNL10_ctau0p1_mumue	87720000	1	1
515062	MGPy8EG_A14N23LO_HNL10_ctau1_mumue	877200000	1	1
515063	MGPy8EG_A14N23LO_HNL10_ctau10_mumue	8772000000	1	1
515064	MGPy8EG_A14N23LO_HNL10_ctau100_mumue	87720000000	1	1
515065	MGPy8EG_A14N23LO_HNL12p5_ctau0p1_mumue	264080000	1	1
515066	MGPy8EG_A14N23LO_HNL12p5_ctau1_mumue	2641000000	1	1
515067	MGPy8EG_A14N23LO_HNL12p5_ctau10_mumue	26408000000	1	1
515068	MGPy8EG_A14N23LO_HNL12p5_ctau100_mumue	264080000000	1	1
515069	MGPy8EG_A14N23LO_HNL15_ctau0p1_mumue	653650000	1	1
515070	MGPy8EG_A14N23LO_HNL15_ctau1_mumue	6536500000	1	1
515071	MGPy8EG_A14N23LO_HNL15_ctau10_mumue	65368000000	1	1
515072	MGPy8EG_A14N23LO_HNL15_ctau100_mumue	653650000000	1	1
515073	MGPy8EG_A14N23LO_HNL17p5_ctau0p1_mumue	1385000000	1	1
515074	MGPy8EG_A14N23LO_HNL17p5_ctau1_mumue	13850000000	1	1
515075	MGPy8EG_A14N23LO_HNL17p5_ctau10_mumue	138500000000	1	1
515076	MGPy8EG_A14N23LO_HNL17p5_ctau100_mumue	1385000000000	1	1
515077	MGPy8EG_A14N23LO_HNL20_ctau0p1_mumue	2652000000	1	1
515078	MGPy8EG_A14N23LO_HNL20_ctau1_mumue	26608000000	1	1
515079	MGPy8EG_A14N23LO_HNL20_ctau10_mumue	266080000000	1	1
515080	MGPy8EG_A14N23LO_HNL20_ctau100_mumue	2660800000000	1	1
515081	MGPy8EG_A14N23LO_HNL1_ctau0p1_muee	368.38	1	1
515082	MGPy8EG_A14N23LO_HNL1_ctau1_muee	3683.8	1	1
515083	MGPy8EG_A14N23LO_HNL1_ctau10_muee	36838	1	1
515084	MGPy8EG_A14N23LO_HNL1_ctau100_muee	368380	1	1
515085	MGPy8EG_A14N23LO_HNL1_ctau1000_muee	3684000	1	1
515086	MGPy8EG_A14N23LO_HNL2_ctau0p1_muee	11793	1	1
515087	MGPy8EG_A14N23LO_HNL2_ctau1_muee	117930	1	1
515088	MGPy8EG_A14N23LO_HNL2_ctau10_muee	1179000	1	1
515089	MGPy8EG_A14N23LO_HNL2_ctau100_muee	11780000	1	1
515090	MGPy8EG_A14N23LO_HNL2_ctau1000_muee	117800000	1	1
515091	MGPy8EG_A14N23LO_HNL3_ctau0p1_muee	88938	1	1
515092	MGPy8EG_A14N23LO_HNL3_ctau1_muee	889370	1	1
515093	MGPy8EG_A14N23LO_HNL3_ctau10_muee	8893800	1	1
515094	MGPy8EG_A14N23LO_HNL3_ctau100_muee	88938000	1	1
515095	MGPy8EG_A14N23LO_HNL3_ctau1000_muee	889400000	1	1
515096	MGPy8EG_A14N23LO_HNL4_ctau0p1_muee	374450	1	1
515097	MGPy8EG_A14N23LO_HNL4_ctau1_muee	3744500	1	1
515098	MGPy8EG_A14N23LO_HNL4_ctau10_muee	37445000	1	1
515099	MGPy8EG_A14N23LO_HNL4_ctau100_muee	374450000	1	1
515100	MGPy8EG_A14N23LO_HNL4_ctau1000_muee	3744500000	1	1
515101	MGPy8EG_A14N23LO_HNL5_ctau0p1_muee	1147000	1	1
515102	MGPy8EG_A14N23LO_HNL5_ctau1_muee	11470000	1	1
515103	MGPy8EG_A14N23LO_HNL5_ctau10_muee	114700000	1	1
515104	MGPy8EG_A14N23LO_HNL5_ctau100_muee	1147000000	1	1
515105	MGPy8EG_A14N23LO_HNL5_ctau1000_muee	11470000000	1	1
515106	MGPy8EG_A14N23LO_HNL7p5_ctau0p1_muee	8633000	1	1
515107	MGPy8EG_A14N23LO_HNL7p5_ctau1_muee	86330000	1	1
515108	MGPy8EG_A14N23LO_HNL7p5_ctau10_muee	863300000	1	1
515109	MGPy8EG_A14N23LO_HNL7p5_ctau100_muee	8633000000	1	1
515110	MGPy8EG_A14N23LO_HNL10_ctau0p1_muee	36150000	1	1
515111	MGPy8EG_A14N23LO_HNL10_ctau1_muee	361500000	1	1
515112	MGPy8EG_A14N23LO_HNL10_ctau10_muee	3615000000	1	1
515113	MGPy8EG_A14N23LO_HNL10_ctau100_muee	36150000000	1	1
515114	MGPy8EG_A14N23LO_HNL12p5_ctau0p1_muee	108850000	1	1
515115	MGPy8EG_A14N23LO_HNL12p5_ctau1_muee	1088500000	1	1
